Time (s),CPU (%),MEM (KB),Bandwidth (KB/s),Bandwidth Utilization (%),Open Sockets,exp_dir,experiment,categories,rps
10,1192.0,365616,151967.0,11.87,35,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
16,1095.0,533916,152407.0,11.91,44,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
21,1173.0,694220,160105.0,12.51,45,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
26,1184.0,872832,149657.0,11.69,49,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
31,1177.0,1037460,156793.0,12.25,45,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
37,1041.0,1157188,132252.0,10.33,46,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
42,1182.0,1354028,153482.0,11.99,44,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
47,1189.0,1527200,153912.0,12.02,48,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
52,1186.0,1705072,154401.0,12.06,44,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
57,1172.0,1872708,155637.0,12.16,44,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
63,1160.0,2039152,159624.0,12.47,44,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
68,1132.0,2194528,168829.0,13.19,47,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
73,1188.0,2287884,154148.0,12.04,46,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
78,900.0,2371960,111618.0,8.72,42,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
84,1192.0,2677812,150922.0,11.79,49,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
89,1175.0,2857012,159392.0,12.45,43,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
94,1159.0,3027632,163829.0,12.8,43,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
99,1161.0,3908592,155584.0,12.16,46,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
104,1167.0,3389504,161450.0,12.61,47,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
110,1171.0,3560608,153375.0,11.98,44,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
115,1191.0,3726936,155496.0,12.15,44,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
120,1201.0,3893280,148440.0,11.6,44,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
125,1158.0,4056048,161010.0,12.58,46,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
130,1193.0,4227132,151779.0,11.86,43,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
136,1143.0,4366324,163968.0,12.81,44,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
141,1156.0,4456920,159495.0,12.46,48,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
146,1173.0,4543276,156493.0,12.23,46,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
151,1181.0,4629536,149404.0,11.67,43,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
157,1171.0,4711096,154512.0,12.07,47,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
162,651.3,4797348,82660.0,6.46,43,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
167,1176.0,5332856,162978.0,12.73,45,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
172,1212.0,5528176,146341.0,11.43,46,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
177,1186.0,5690752,150976.0,11.79,45,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
183,1195.0,5854496,151162.0,11.81,44,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
188,1162.0,6019324,163517.0,12.77,43,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
193,1179.0,6191380,157917.0,12.34,38,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
198,1090.0,7291364,176384.0,13.78,44,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
204,1170.0,6587268,157252.0,12.29,48,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
209,1209.0,6754312,144593.0,11.3,45,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
214,1207.0,6916064,143835.0,11.24,47,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
219,1187.0,7076208,158824.0,12.41,43,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
224,1171.0,7245676,162627.0,12.71,45,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
230,1136.0,7416036,171118.0,13.37,46,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
235,1155.0,7591740,166782.0,13.03,46,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
0,1159.0,23912,149029.0,11.64,44,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
6,1150.0,210888,151532.0,11.84,46,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
11,1197.0,366352,159021.0,12.42,47,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
16,1077.0,543380,164254.0,12.83,42,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
21,1172.0,704068,170203.0,13.3,43,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
27,1178.0,895696,169488.0,13.24,43,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
32,1157.0,1070972,171536.0,13.4,47,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
37,1015.0,1192904,152589.0,11.92,41,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
42,1203.0,1392496,159366.0,12.45,49,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
47,1130.0,1738672,175106.0,13.68,43,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
53,1185.0,1761192,160994.0,12.58,46,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
58,1184.0,1931588,155586.0,12.16,46,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
63,1151.0,2099128,166673.0,13.02,43,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
68,1186.0,2259344,162407.0,12.69,41,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
73,1147.0,2347620,166836.0,13.03,45,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
79,868.9,2440024,128443.0,10.03,49,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
84,1216.0,2747044,160293.0,12.52,41,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
89,1194.0,2934808,166705.0,13.02,35,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
94,1171.0,3309008,171448.0,13.39,45,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
100,1163.0,3356932,173552.0,13.56,42,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
105,1121.0,3533200,181055.0,14.14,45,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
110,1163.0,3714308,177607.0,13.88,47,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
115,1142.0,3893532,182630.0,14.27,45,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
120,533.3,3998384,2607.29,0.2,38,experiments/oha/oha-2,oha-2,['time-based-rps-increase'],183634.582
0,3903.0,27520,17622.9,1.38,6,experiments/oha/oha-5,oha-5,['disable-keepalive'],10298.1215
