Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1730525846,52,GET,/,15235.000000,0.000000,1,2,2,2,3,3,3,4,7,86,92,671768,0,1,1.2064062477929276,0.24818100064294413,115.8428160015319,612.0
1730525846,52,,Aggregated,15235.000000,0.000000,1,2,2,2,3,3,3,4,7,86,92,671768,0,1,1.2064062477929276,0.24818100064294413,115.8428160015319,612.0
1730525847,53,GET,/,15327.400000,0.000000,2,2,2,2,3,3,3,5,7,87,92,718080,0,1,1.253009011127782,0.24818100064294413,115.8428160015319,612.0
1730525847,53,,Aggregated,15327.400000,0.000000,2,2,2,2,3,3,3,5,7,87,92,718080,0,1,1.253009011127782,0.24818100064294413,115.8428160015319,612.0
1730525848,54,GET,/,15327.400000,0.000000,2,2,2,2,3,3,3,5,7,87,92,718080,0,1,1.253009011127782,0.24818100064294413,115.8428160015319,612.0
1730525848,54,,Aggregated,15327.400000,0.000000,2,2,2,2,3,3,3,5,7,87,92,718080,0,1,1.253009011127782,0.24818100064294413,115.8428160015319,612.0
1730525849,55,GET,/,15327.400000,0.000000,2,2,2,2,3,3,3,5,7,87,92,718080,0,1,1.253009011127782,0.24818100064294413,115.8428160015319,612.0
1730525849,55,,Aggregated,15327.400000,0.000000,2,2,2,2,3,3,3,5,7,87,92,718080,0,1,1.253009011127782,0.24818100064294413,115.8428160015319,612.0
1730525850,56,GET,/,15396.900000,0.000000,2,2,2,2,3,3,3,5,8,88,93,764868,0,1,1.2961610339748586,0.24818100064294413,115.8428160015319,612.0
1730525850,56,,Aggregated,15396.900000,0.000000,2,2,2,2,3,3,3,5,8,88,93,764868,0,1,1.2961610339748586,0.24818100064294413,115.8428160015319,612.0
1730525851,57,GET,/,15396.900000,0.000000,2,2,2,2,3,3,3,5,8,88,93,764868,0,1,1.2961610339748586,0.24818100064294413,115.8428160015319,612.0
1730525851,57,,Aggregated,15396.900000,0.000000,2,2,2,2,3,3,3,5,8,88,93,764868,0,1,1.2961610339748586,0.24818100064294413,115.8428160015319,612.0
1730525852,58,GET,/,15396.900000,0.000000,2,2,2,2,3,3,3,5,8,88,93,764868,0,1,1.2961610339748586,0.24818100064294413,115.8428160015319,612.0
1730525852,58,,Aggregated,15396.900000,0.000000,2,2,2,2,3,3,3,5,8,88,93,764868,0,1,1.2961610339748586,0.24818100064294413,115.8428160015319,612.0
1730525853,59,GET,/,15476.800000,0.000000,2,2,2,2,3,3,3,5,8,88,93,811553,0,1,1.3417738615083394,0.24818100064294413,115.8428160015319,612.0
1730525853,59,,Aggregated,15476.700000,0.000000,2,2,2,2,3,3,3,5,8,88,93,811553,0,1,1.3417738615083394,0.24818100064294413,115.8428160015319,612.0
1730525854,60,GET,/,15476.800000,0.000000,2,2,2,2,3,3,3,5,8,88,93,811553,0,1,1.3417738615083394,0.24818100064294413,115.8428160015319,612.0
1730525854,60,,Aggregated,15476.700000,0.000000,2,2,2,2,3,3,3,5,8,88,93,811553,0,1,1.3417738615083394,0.24818100064294413,115.8428160015319,612.0
1730525855,61,GET,/,15476.800000,0.000000,2,2,2,2,3,3,3,5,8,88,93,811553,0,1,1.3417738615083394,0.24818100064294413,115.8428160015319,612.0
1730525855,61,,Aggregated,15476.700000,0.000000,2,2,2,2,3,3,3,5,8,88,93,811553,0,1,1.3417738615083394,0.24818100064294413,115.8428160015319,612.0
1730525856,62,GET,/,15527.800000,0.000000,2,2,2,2,3,3,4,6,9,88,93,858606,0,1,1.3869322652424005,0.24721299996599555,115.8428160015319,612.0
1730525856,62,,Aggregated,15527.800000,0.000000,2,2,2,2,3,3,4,6,9,88,93,858606,0,1,1.3869322652424005,0.24721299996599555,115.8428160015319,612.0
1730525857,63,GET,/,15527.800000,0.000000,2,2,2,2,3,3,4,6,9,88,93,858606,0,1,1.3869322652424005,0.24721299996599555,115.8428160015319,612.0
1730525857,63,,Aggregated,15527.800000,0.000000,2,2,2,2,3,3,4,6,9,88,93,858606,0,1,1.3869322652424005,0.24721299996599555,115.8428160015319,612.0
1730525858,64,GET,/,15527.800000,0.000000,2,2,2,2,3,3,4,6,9,88,93,858606,0,1,1.3869322652424005,0.24721299996599555,115.8428160015319,612.0
1730525858,64,,Aggregated,15527.800000,0.000000,2,2,2,2,3,3,4,6,9,88,93,858606,0,1,1.3869322652424005,0.24721299996599555,115.8428160015319,612.0
1730525859,65,GET,/,15604.000000,0.000000,2,2,2,2,3,3,4,6,9,88,93,905793,0,1,1.4319865162572054,0.24721299996599555,115.8428160015319,612.0
1730525859,65,,Aggregated,15604.000000,0.000000,2,2,2,2,3,3,4,6,9,88,93,905793,0,1,1.4319865162572054,0.24721299996599555,115.8428160015319,612.0
1730525860,66,GET,/,15604.000000,0.000000,2,2,2,2,3,3,4,6,9,88,93,905793,0,1,1.4319865162572054,0.24721299996599555,115.8428160015319,612.0
1730525860,66,,Aggregated,15604.000000,0.000000,2,2,2,2,3,3,4,6,9,88,93,905793,0,1,1.4319865162572054,0.24721299996599555,115.8428160015319,612.0
1730525861,67,GET,/,15604.000000,0.000000,2,2,2,2,3,3,4,6,9,88,93,905793,0,1,1.4319865162572054,0.24721299996599555,115.8428160015319,612.0
1730525861,67,,Aggregated,15604.000000,0.000000,2,2,2,2,3,3,4,6,9,88,93,905793,0,1,1.4319865162572054,0.24721299996599555,115.8428160015319,612.0
1730525862,68,GET,/,15652.300000,0.000000,2,2,2,2,3,4,4,6,10,88,94,953066,0,1,1.4766956555383886,0.24721299996599555,115.8428160015319,612.0
1730525862,68,,Aggregated,15652.300000,0.000000,2,2,2,2,3,4,4,6,10,88,94,953066,0,1,1.4766956555383886,0.24721299996599555,115.8428160015319,612.0
1730525863,69,GET,/,15652.300000,0.000000,2,2,2,2,3,4,4,6,10,88,94,953066,0,1,1.4766956555383886,0.24721299996599555,115.8428160015319,612.0
1730525863,69,,Aggregated,15652.300000,0.000000,2,2,2,2,3,4,4,6,10,88,94,953066,0,1,1.4766956555383886,0.24721299996599555,115.8428160015319,612.0
1730525864,70,GET,/,15652.300000,0.000000,2,2,2,2,3,4,4,6,10,88,94,953066,0,1,1.4766956555383886,0.24721299996599555,115.8428160015319,612.0
1730525864,70,,Aggregated,15652.300000,0.000000,2,2,2,2,3,4,4,6,10,88,94,953066,0,1,1.4766956555383886,0.24721299996599555,115.8428160015319,612.0
1730525865,71,GET,/,15711.400000,0.000000,2,2,2,2,4,4,4,7,10,88,94,1000537,0,1,1.52129428300732,0.24721299996599555,115.8428160015319,612.0
1730525865,71,,Aggregated,15711.400000,0.000000,2,2,2,2,4,4,4,7,10,88,94,1000537,0,1,1.52129428300732,0.24721299996599555,115.8428160015319,612.0
